+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+2, +6, +12
+3, +8, -19
-23, -13, -4
+3, -1, +16
+25, +12, -11
-24, -25, +16
+15, +12, -28
-24, -6, -20
-18, -6, +11
-30, +26, +23
+14, +11, +27
-12, -4, +10
-30, -9, +18
-27, -15, +11
-9, +28, +22
-21, +6, +25
-5, +10, -27
-18, -13, -19
-17, -27, -3
-14, +3, -19
-28, -11, +25
+2, +17, -29
-2, -20, +5
-16, +24, -18
-14, +5, -12
-15, +24, +19
-30, -17, +26
-30, -16, -12
-24, -18, -12
+20, -1, +14
+7, -13, +25
+30, +16, -23
-18, -17, +14
+7, +23, -5
+11, +10, -27
-29, +4, +6
-27, +20, +25
-22, -4, +15
+4, -10, +26
+14, +4, -21
+7, -21, -27
-4, +14, -11
+16, +19, -2
-4, +16, -14
+25, +8, -3
-25, -24, -14
-22, -23, +6
+27, -5, +14
+18, -6, -2
+14, +18, +15
-8, -13, +23
+24, -30, -6
-5, +12, -28
+7, -14, +3
-16, -15, -11
-23, -12, +15
-8, +9, +4
-1, +17, -16
-18, -4, -22
+6, +30, +3
-20, +23, +9
-26, +6, -15
-27, -15, +28
+24, +13, -15
-21, +16, -8
+23, +26, +19
-14, -22, -8
+29, +6, +22
+1, +12, +11
-24, -21, +7
+24, -25, +29
+5, +8, +20
-7, -23, -17
+21, +6, +14
+9, -12, -2
+2, +11, +3
-11, +25, -8
+20, -2, +12
-30, -18, -28
+19, -7, -9
+17, +1, +20
+18, +13, +11
-17, -21, +25
+26, -6, +16
+26, +11, +5
+2, -9, -16
+1, -28, +2
+11, -23, +7
+21, -25, -14
-13, -15, -21
-22, +11, +10
+7, +11, -1
-19, -6, -13
-3, -30, -12
-11, -17, -26
+24, +8, -14
-7, -25, -14
-5, -18, +13
+3, +30, -21
-12, +3, +18
+24, +28, +6
+18, +11, +28
-27, +24, +25
-21, +23, +7
-27, +11, -8
-8, -1, -7
-18, +16, -25
+29, -6, -28
-15, +30, +23
+13, +19, +15
-13, -16, +21
-29, +9, -5
+4, +25, +29
+19, -24, +25
+15, +2, +1
-12, +9, +10
+4, +24, -10
+13, +5, +15
+12, +6, +7
+18, +4, -6
+5, -12, -6
-18, -12, -21
-14, -27, -2
-3, +17, -23
-10, +12, -14
+24, +6, -16
-30, -1, +9
+4, -3, -1
-14, -26, +19
+30, +12, -16
+21, +1, -28
-5, +25, -4
+21, +27, +18
-24, +27, -19
+5, +29, +16
-16, -7, -25
+25, -27, -8
-11, -27, +9
+30, -17, +1
+4, -24, -20
+15, -19, +11
-24, +9, +16
-1, +11, -9
-30, +5, +12
+8, -7, -10
+22, -10, -29
+4, +10, +23
+17, -10, -2
+3, -13, -11
-14, +17, +19
+24, +28, -9
+18, +14, +2
+26, -22, +29
-28, +23, +14
-18, -23, +8
+14, -7, +19
+18, +8, -30
+25, -16, +14
-26, -16, -28
-12, -16, -7
-13, -26, -25
-29, -30, -7
+24, -28, +12
-9, -5, +1
+22, +2, -25
+28, +15, +18
-12, -25, -17
+8, -3, +6
+22, -20, -3
+18, -12, -20
-23, -19, -1
+10, -15, +19
-5, +22, +24
-21, +9, -12
-22, +12, +3
-11, +22, +7
+7, -6, -30
+2, +10, -6
-13, +27, +20
+10, -12, -21
+29, -28, +7
+19, -9, +10
-24, -22, +28
+23, +24, -5
+9, -5, -15
-14, +16, -26
-6, +7, -2
-10, -15, +24
-12, -30, +26
-13, +23, +12
-22, -19, +3
-24, +1, +17
-29, +28, +22
-24, +2, -4
+14, -29, -4
-1, -7, +26
-10, -5, -27
-9, +18, -28
+20, -6, -4
+19, -18, +8
-26, +1, +10
+29, +22, +30
+13, +16, -15
+20, -22, -18
+29, +12, -5
+11, +27, +21
+3, -10, +19
-6, -19, +23
+11, -22, +5
+24, +8, -11
+9, -30, +18
+30, -3, -14
-10, +6, +26
+18, -28, -25
-25, +26, -17
-21, -3, -2
+18, -13, +27
+23, +22, -27
+15, -30, +8
+22, +8, +29
-22, -11, +13
-26, +20, -4
-21, -25, -13
-29, +22, +16
+25, -19, +8
+11, -29, -28
-26, +7, -22
+12, -19, +14
-28, -8, +14
+16, +7, -10
-3, -23, +9
-22, +17, -3
-8, +1, +23
+16, -6, +26
-24, +18, +12
+26, +4, +25
+17, -10, +28
-10, +6, -29
-1, -21, +26
+12, +19, -26
+5, -12, -6
-18, -12, -21
-14, -27, -2
-3, +17, -23
-10, +12, -14
+24, +6, -16
-30, -1, +9
+4, -3, -1
-14, -26, +19
+30, +12, -16
+21, +1, -28
-5, +25, -4
+21, +27, +18
-24, +27, -19
+5, +29, +16
-16, -7, -25
+25, -27, -8
-11, -27, +9
+30, -17, +1
+4, -24, -20
+15, -19, +11
-24, +9, +16
-1, +11, -9
-30, +5, +12
+8, -7, -10
+22, -10, -29
+4, +10, +23
+17, -10, -2
+3, -13, -11
-14, +17, +19
+24, +28, -9
+18, +14, +2
+26, -22, +29
-28, +23, +14
-18, -23, +8
+14, -7, +19
+18, +8, -30
+25, -16, +14
-26, -16, -28
-12, -16, -7
-13, -26, -25
-29, -30, -7
+24, -28, +12
-9, -5, +1
+22, +2, -25
+28, +15, +18
-12, -25, -17
+8, -3, +6
+22, -20, -3
+18, -12, -20
-23, -19, -1
+10, -15, +19
-5, +22, +24
-21, +9, -12
-22, +12, +3
-11, +22, +7
+7, -6, -30
+2, +10, -6
-13, +27, +20
+10, -12, -21
+29, -28, +7
+19, -9, +10
-24, -22, +28
+23, +24, -5
+9, -5, -15
-14, +16, -26
-6, +7, -2
-10, -15, +24
-12, -30, +26
-13, +23, +12
-22, -19, +3
-24, +1, +17
-29, +28, +22
-24, +2, -4
+14, -29, -4
-1, -7, +26
-10, -5, -27
-9, +18, -28
+20, -6, -4
+19, -18, +8
-26, +1, +10
+29, +22, +30
+13, +16, -15
+20, -22, -18
+29, +12, -5
+11, +27, +21
+3, -10, +19
-6, -19, +23
+11, -22, +5
+24, +8, -11
+9, -30, +18
+30, -3, -14
-10, +6, +26
+18, -28, -25
-25, +26, -17
-21, -3, -2
+18, -13, +27
+23, +22, -27
+15, -30, +8
+22, +8, +29
-22, -11, +13
-26, +20, -4
-21, -25, -13
-29, +22, +16
+25, -19, +8
+11, -29, -28
-26, +7, -22
+12, -19, +14
-28, -8, +14
+16, +7, -10
-3, -23, +9
-22, +17, -3
-8, +1, +23
+16, -6, +26
-24, +18, +12
+26, +4, +25
+17, -10, +28
-10, +6, -29
-1, -21, +26
+12, +19, -26
